Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,716.500000,722.750000,715.000000,720.950012,720.950012,7118011
2021-09-09,720.799988,723.900024,717.599976,720.250000,720.250000,6243422
2021-09-13,717.900024,717.900024,705.200012,707.400024,707.400024,6967906
2021-09-14,713.250000,714.000000,706.500000,707.450012,707.450012,5241865
2021-09-15,707.099976,716.000000,706.299988,714.349976,714.349976,5936741
2021-09-16,720.000000,729.400024,712.849976,727.200012,727.200012,13557169
2021-09-17,732.900024,734.400024,714.000000,720.150024,720.150024,17075003
2021-09-20,710.000000,720.400024,706.500000,710.000000,710.000000,7943459
2021-09-21,711.150024,714.500000,694.400024,711.849976,711.849976,10009615
2021-09-22,715.000000,715.000000,702.250000,703.349976,703.349976,9740470
2021-09-23,711.000000,720.000000,707.150024,717.000000,717.000000,10412491
2021-09-24,722.599976,724.599976,716.549988,722.950012,722.950012,11780868
2021-09-27,724.500000,731.750000,722.299988,730.000000,730.000000,7712240
2021-09-28,734.099976,735.400024,706.599976,717.150024,717.150024,13491800
2021-09-29,707.349976,711.950012,701.299988,709.500000,709.500000,11453404
2021-09-30,709.599976,713.900024,698.799988,700.849976,700.849976,18487517
2021-10-01,693.000000,694.849976,687.900024,692.349976,692.349976,10935810
2021-10-04,697.049988,703.349976,694.049988,700.200012,700.200012,8976533
2021-10-05,693.000000,699.000000,691.849976,697.099976,697.099976,7497208
2021-10-06,696.599976,705.000000,688.349976,689.500000,689.500000,13200810
2021-10-07,697.549988,704.950012,693.450012,702.200012,702.200012,10041549
2021-10-08,706.000000,710.000000,698.299988,703.400024,703.400024,9383924
2021-10-11,702.000000,719.400024,700.299988,713.299988,713.299988,9337637
2021-10-12,706.500000,713.000000,704.400024,708.599976,708.599976,7376091
2021-10-13,713.849976,715.900024,707.950012,709.950012,709.950012,6357766
2021-10-14,710.250000,729.799988,709.049988,727.299988,727.299988,8950350
2021-10-18,739.000000,748.900024,732.049988,745.450012,745.450012,15345601
2021-10-19,755.000000,755.000000,738.750000,747.450012,747.450012,11349799
2021-10-20,746.750000,757.450012,741.900024,745.849976,745.849976,12762996
2021-10-21,748.900024,759.849976,737.400024,755.500000,755.500000,12166996
2021-10-22,758.500000,765.849976,753.349976,759.299988,759.299988,13248928
2021-10-25,800.000000,867.000000,798.400024,841.700012,841.700012,96124084
2021-10-26,828.700012,841.700012,822.349976,829.400024,829.400024,16925115
2021-10-27,828.750000,849.000000,824.200012,835.000000,835.000000,22898400
2021-10-28,830.099976,831.950012,796.250000,798.700012,798.700012,18750423
2021-10-29,798.000000,808.750000,783.900024,802.049988,802.049988,15701200
2021-11-01,807.700012,809.700012,793.000000,803.900024,803.900024,11406421
2021-11-02,809.000000,810.000000,798.000000,800.950012,800.950012,9452457
2021-11-03,806.000000,806.000000,780.450012,785.950012,785.950012,11839149
2021-11-04,788.500000,789.000000,779.000000,782.099976,782.099976,3149310
2021-11-08,793.000000,793.000000,773.150024,780.150024,780.150024,13967995
2021-11-09,784.000000,788.599976,779.200012,786.549988,786.549988,10084357
2021-11-10,782.549988,784.299988,773.099976,780.900024,780.900024,9507347
2021-11-11,776.700012,777.000000,766.099976,771.450012,771.450012,9221059
2021-11-12,772.700012,779.900024,771.200012,776.599976,776.599976,15380106
2021-11-15,777.000000,784.549988,771.549988,773.299988,773.299988,10934583
2021-11-16,773.299988,775.750000,762.000000,764.049988,764.049988,12785837
2021-11-17,760.900024,771.950012,756.299988,761.299988,761.299988,11657214
2021-11-18,764.900024,767.500000,756.400024,762.900024,762.900024,20644385
